1,3897,八,bā,数,八,ba1,1
3,4125,班,bān,名,クラス,ba1n,1
3,4126,搬,bān,動,運ぶ 引っ越しする,ba1n,1
3,4129,包,bāo,量,…包み（包んだ物を数える）,ba1o,1
4,,擦,cā,動,拭く,ca1,1
4,,猜,cāi,動,答えを当てる,ca1i,1
1,3904,吃,chī,動,食べる,chi1,1
2,37,出,chū,動,出る 出す,chu1,1
3,65,春,chūn,名,春,chu1n,1
2,4017,穿,chuān,動,（衣服を）着る 通り抜ける,chua1n,1
4,,当,dāng,動,…になる 担当する,da1ng,1
4,,刀,dāo,名,刃物,da1o,1
3,69,灯,dēng,名,明かり,de1ng,1
3,4152,低,dī,形,低い,di1,1
4,,丢,diū,動,失う,diu1,1
3,73,东,dōng,名,東,do1ng,1
3,72,冬,dōng,名,冬,do1ng,1
1,3912,都,dōu,副,みな すべて,do1u,1
1,3915,多,duō,形,多い,duo1,1
4,,发,fā,動,発送する 発生する,fa1,1
3,4165,分,fēn,量,…分,fe1n,1
2,4028,高,gāo,形,高い（高さが）,ga1o,1
3,4172,跟,gēn,介,…といっしょに …で,ge1n,1
3,80,关,guān,動,閉める,gua1n,1
4,,光,guāng,名,光 明るくする,gua1ng,1
1,3927,喝,hē,動,飲む,he1,1
2,47,黑,hēi,形,黒い,he1i,1
3,4186,花,huā,名,花,hua1,1
1,3932,家,jiā,名,家 家庭,jia1,1
3,86,教,jiāo,動,教える,jia1o,1
4,,交,jiāo,動,交付する 交わる,jia1o,1
3,4200,接,jiē,動,つなぐ （手紙や電話を）受け取る 迎える,jie1,1
1,9,开,kāi,動,開く,ka1i,1
4,,棵,kē,量,…本（木 草を数える）,ke1,1
3,4214,哭,kū,動,泣く,ku1,1
4,,宽,kuān,形,幅が広い幅,kua1n,1
4,,拉,lā,動,引く （楽器を）弾く,la1,1
1,3948,猫,māo,名,猫,ma1o,1
4,,篇,piān,量,…篇（文章を数える）,pia1n,1
1,3959,七,qī,数,七,qi1,1
4,,轻,qīng,形,軽い,qi1ng,1
2,4069,千,qiān,数,千,qia1n,1
4,,敲,qiāo,動,たたく,qia1o,1
3,110,秋,qiū,名,秋,qiu1,1
4,,扔,rēng,動,投げる 捨てる,re1ng,1
1,3964,三,sān,数,三,sa1n,1
4,,深,shēn,形,深い （色が）濃い,she1n,1
4,,收,shōu,動,収める 受け取る,sho1u,1
1,3971,书,shū,名,本 書籍,shu1,1
4,,输,shū,動,負ける,shu1,1
3,114,双,shuāng,量,…双（ペアを数える）,shua1ng,1
4,,酸,suān,形,酸っぱい,sua1n,1
1,23,他,tā,代,彼,ta1,1
1,8,她,tā,代,彼女,ta1,1
2,10336,它,tā,代,それ あれ,ta1,1
4,,汤,tāng,名,スープ,ta1ng,1
1,3980,听,tīng,動,聞く,ti1ng,1
4,,推,tuī,動,押す,tui1,1
4,,脱,tuō,動,脱ぐ 抜ける,tuo1,1
3,123,西,xī,名,西,xi1,1
2,10342,新,xīn,形,新しい,xi1n,1
3,4276,先,xiān,副,先に まず,xia1n,1
4,,香,xiāng,形,香りがよい 味がよい,xia1ng,1
1,28,些,xiē,量,いくらかの（不定の量）,xie1,1
4,,修,xiū,動,直す 修理する 整える,xiu1,1
1,3997,一,yī,数,一,yi1,1
2,4104,阴,yīn,形,曇っている,yi1n,1
2,10345,张,zhāng,量,…張り（薄くて平らな面をもつものを数える）,zha1ng,1
2,10346,真,zhēn,副,じつに 確かに,zhe1n,1
4,,之,zhī,助,これ それ …の,zhi1,1
4,,只,zhī,量,…匹（小動物 昆虫 ペアの片割れ）,zhi1,1
4,,猪,zhū,名,豚,zhu1,1
4,,租,zū,動,貸す（有料で） （金を払って）借りる,zu1,1
2,35,白,bái,形,白い,ba2i,2
2,36,别,bié,副,…してはいけない,bie2,2
3,62,才,cái,副,いま…したばかり やっと,ca2i,2
3,4139,层,céng,量,…枚（重なった物を数える）,ce2ng,2
1,3903,茶,chá,名,お茶,cha2,2
2,4015,长,cháng,形,長い 長さ 長所,cha2ng,2
4,,尝,cháng,動,味を見る,cha2ng,2
2,4018,船,chuán,名,船,chua2n,2
2,39,从,cóng,介,起点・出発点を示す,co2ng,2
1,3913,读,dú,動,音読する （学校で）勉強する,du2,2
4,,而,ér,接,…でありまた…である …ではあるが…ではない,e2r,2
2,4038,还,hái,副,まだ やはり なお,ha2i,2
3,4183,河,hé,名,川,he2,2
1,3928,和,hé,介,…と,he2,2
2,48,红,hóng,形,赤い,ho2ng,2
4,,还,huán,動,返す 報いる,hua2n,2
3,4191,黄,huáng,形,黄色い,hua2ng,2
1,6,回,huí,量,…回,hui2,2
3,82,极,jí,副,きわめて 極み 頂点,ji2,2
1,3939,来,lái,動,来る,la2i,2
3,95,蓝,lán,形,青い,la2n,2
2,4055,离,lí,介,…から（二点間の隔たり）,li2,2
1,3944,零,líng,数,ゼロ 数の空位,li2ng,2
4,,连,lián,介,…もいっしょに …までも続けて,lia2n,2
4,,留,liú,動,留まる とっておく,liu2,2
3,98,楼,lóu,名,建物,lo2u,2
2,4059,忙,máng,形,忙しい 急いでいる,ma2ng,2
1,3949,没,méi,副,…しなかった まだ…していない まだ…でない,me2i,2
2,10331,门,mén,名,門,me2n,2
3,4228,拿,ná,動,手に取る,na2,2
3,104,南,nán,名,南,na2n,2
3,4230,难,nán,形,難しい …しにくい,na2n,2
1,3953,能,néng,能,…できる（能力がある） …が起こりうる …してもよい,ne2ng,2
2,10333,您,nín,代,あなた（敬称）,ni2n,2
1,3954,年,nián,名,年,nia2n,2
4,,陪,péi,動,お供する,pe2i,2
3,4241,骑,qí,動,乗る（またがって）,qi2,2
2,4070,晴,qíng,形,晴れている,qi2ng,2
1,3960,钱,qián,名,お金,qia2n,2
4,,墙,qiáng,名,壁 へい,qia2ng,2
4,,桥,qiáo,名,橋,qia2o,2
4,,穷,qióng,形,貧しい,qio2ng,2
4,,群,qún,量,…群（群れを成したものを数える）,qu2n,2
1,19,人,rén,名,人,re2n,2
1,3972,谁,shéi,代,誰（の） 誰か,she2i,2
1,3968,十,shí,数,十,shi2,2
4,,抬,tái,動,持ち上げる（二人以上で）,ta2i,2
4,,台,tái,名,台,ta2i,2
4,,谈,tán,動,話す 話し合う,ta2n,2
3,116,糖,táng,名,砂糖 あめ,ta2ng,2
3,4262,疼,téng,形,痛む,te2ng,2
2,10337,题,tí,名,題,ti2,2
3,4265,甜,tián,形,甘い うまい,tia2n,2
3,117,条,tiáo,量,…本（細長く 曲がることのある物を数える）,tia2o,2
2,4084,玩,wán,動,遊ぶ もてあそぶ,wa2n,2
2,10339,完,wán,動,仕上げる 尽きる,wa2n,2
4,,无,wú,副,…ない …するな …にもかかわらず,wu2,2
4,,行,xíng,量,…行（行・列になっている物を数える）,xi2ng,2
4,,咸,xián,形,塩辛い,xia2n,2
3,4281,鞋,xié,名,靴,xie2,2
4,,盐,yán,名,塩,ya2n,2
4,,赢,yíng,動,勝つ,yi2ng,2
4,,由,yóu,介,…によると …から理由 経由,yo2u,2
2,4107,鱼,yú,名,魚,yu2,2
3,139,云,yún,名,雲,yu2n,2
2,4108,圆,yuán,形,丸い,yua2n,2
4,,元,yuán,量,通貨の単位 元,yua2n,2
3,4122,矮,ǎi,形,低い（背丈が）,a3i,3
3,10349,把,bǎ,量,…把（取っ手 柄のあるものを数える）,ba3,3
2,4011,百,bǎi,数,百,ba3i,3
3,4130,饱,bǎo,形,満腹である,ba3o,3
1,1,本,běn,量,…冊（書籍・ノートを数える）,be3n,3
2,4014,比,bǐ,介,…と比べて,bi3,3
3,63,草,cǎo,名,草,ca3o,3
4,,吵,chǎo,動,口喧嘩する,cha3o,3
4,,得,děi,動,要する[dei3]得る[de2],de3i,3
2,4022,等,děng,動,待つ,de3ng,3
4,,等,děng,助,…など,de3ng,3
4,,底,dǐ,名,底 （年度などの）末 （事の）真相,di3,3
1,3908,点,diǎn,量,…時,dia3n,3
2,43,懂,dǒng,動,わかる 理解している,do3ng,3
3,4157,短,duǎn,形,短い,dua3n,3
4,,朵,duǒ,量,ひとひらの（花 雲を数える）,duo3,3
3,79,敢,gǎn,能,思い切って…する,ga3n,3
2,45,给,gěi,動,あげる,ge3i,3
1,3924,狗,gǒu,名,犬,go3u,3
1,3926,好,hǎo,形,よい 申し分ない,ha3o,3
1,3929,很,hěn,副,たいへん とても,he3n,3
4,,火,huǒ,名,火 鉄砲 赤い,huo3,3
3,7,几,jǐ,代,いくつ（数を尋ねる） いくつかの（不定の数）,ji3,3
4,,假,jiǎ,形,にせの,jia3,3
3,83,讲,jiǎng,動,話す 言う 説明する,jia3ng,3
3,85,脚,jiǎo,名,足（くるぶし…爪先）,jia3o,3
3,84,角,jiǎo,量,通貨の単位 角,jia3o,3
3,91,久,jiǔ,形,久しい,jiu3,3
1,3935,九,jiǔ,数,九,jiu3,3
3,4210,渴,kě,形,のどが渇いている,ke3,3
3,94,口,kǒu,名,口,ko3u,3
4,,苦,kǔ,形,苦い（味が） 苦しい つらい,ku3,3
4,,懒,lǎn,形,懶惰な ものぐさな,la3n,3
3,4217,老,lǎo,形,年を取っている 古い,la3o,3
1,3941,冷,lěng,形,寒い 冷たい,le3ng,3
1,3942,里,lǐ,名,中 内部 範囲を表す,li3,3
4,,俩,liǎ,数,2人 2つ（量詞なしで）,lia3,3
3,96,脸,liǎn,名,顔,lia3n,3
2,4056,两,liǎng,数,二（量詞・位数詞の前で）,lia3ng,3
3,100,马,mǎ,名,馬,ma3,3
1,3947,买,mǎi,動,買う,ma3i,3
4,,满,mǎn,形,満ちている,ma3n,3
2,4060,每,měi,代,ひとつひとつ …ごとに,me3i,3
3,4226,米,mǐ,量,…メートル,mi3,3
1,12,哪,nǎ,代,どの どれか,na3,3
1,16,你,nǐ,代,あなた,ni3,3
3,105,鸟,niǎo,名,鳥,nia3o,3
1,18,请,qǐng,動,お願いする 招待する,qi3ng,3
4,,取,qǔ,動,取る 得る,qu3,3
4,,软,ruǎn,形,柔らかい,rua3n,3
3,4250,伞,sǎn,名,傘,sa3n,3
1,3967,少,shǎo,形,少ない,sha3o,3
4,,省,shěng,名,省,she3ng,3
3,112,使,shǐ,動,使う 派遣する …に…をさせる,shi3,3
1,22,水,shuǐ,名,水,shui3,3
4,,死,sǐ,動,死ぬ,si3,3
4,,躺,tǎng,動,横になる 寝ころぶ,ta3ng,3
4,,挺,tǐng,副,結構 かなり,ti3ng,3
