
1
1,3897,八,bā,数,八,ba1,1
3,4125,班,bān,名,クラス,ba1n,1
3,4126,搬,bān,動,運ぶ 引っ越しする,ba1n,1
3,4129,包,bāo,量,…包み（包んだ物を数える）,ba1o,1
1,3904,吃,chī,動,食べる,chi1,1
2,37,出,chū,動,出る 出す,chu1,1
3,65,春,chūn,名,春,chu1n,1
2,4017,穿,chuān,動,（衣服を）着る 通り抜ける,chua1n,1
3,69,灯,dēng,名,明かり,de1ng,1
3,4152,低,dī,形,低い,di1,1
3,73,东,dōng,名,東,do1ng,1
3,72,冬,dōng,名,冬,do1ng,1
1,3912,都,dōu,副,みな すべて,do1u,1
1,3915,多,duō,形,多い,duo1,1
3,4165,分,fēn,量,…分,fe1n,1
2,4028,高,gāo,形,高い（高さが）,ga1o,1
3,4172,跟,gēn,介,…といっしょに …で,ge1n,1
3,80,关,guān,動,閉める,gua1n,1
1,3927,喝,hē,動,飲む,he1,1
2,47,黑,hēi,形,黒い,he1i,1
3,4186,花,huā,名,花,hua1,1
1,3932,家,jiā,名,家 家庭,jia1,1
3,86,教,jiāo,動,教える,jia1o,1
3,4200,接,jiē,動,つなぐ （手紙や電話を）受け取る 迎える,jie1,1
1,9,开,kāi,動,開く,ka1i,1
3,4214,哭,kū,動,泣く,ku1,1
1,3948,猫,māo,名,猫,ma1o,1
1,3959,七,qī,数,七,qi1,1
2,4069,千,qiān,数,千,qia1n,1
3,110,秋,qiū,名,秋,qiu1,1
1,3964,三,sān,数,三,sa1n,1
1,3971,书,shū,名,本 書籍,shu1,1
3,114,双,shuāng,量,…双（ペアを数える）,shua1ng,1
1,23,他,tā,代,彼,ta1,1
1,8,她,tā,代,彼女,ta1,1
2,10336,它,tā,代,それ あれ,ta1,1
1,3980,听,tīng,動,聞く,ti1ng,1
3,123,西,xī,名,西,xi1,1
2,10342,新,xīn,形,新しい,xi1n,1
3,4276,先,xiān,副,先に まず,xia1n,1
1,28,些,xiē,量,いくらかの（不定の量）,xie1,1
1,3997,一,yī,数,一,yi1,1
2,4104,阴,yīn,形,曇っている,yi1n,1
2,10345,张,zhāng,量,…張り（薄くて平らな面をもつものを数える）,zha1ng,1
2,10346,真,zhēn,副,じつに 確かに,zhe1n,1

2
2,35,白,bái,形,白い,ba2i,2
2,36,别,bié,副,…してはいけない,bie2,2
3,62,才,cái,副,いま…したばかり やっと,ca2i,2
3,4139,层,céng,量,…枚（重なった物を数える）,ce2ng,2
1,3903,茶,chá,名,お茶,cha2,2
2,4015,长,cháng,形,長い 長さ 長所,cha2ng,2
2,4018,船,chuán,名,船,chua2n,2
2,39,从,cóng,介,起点・出発点を示す,co2ng,2
1,3913,读,dú,動,音読する （学校で）勉強する,du2,2
2,4038,还,hái,副,まだ やはり なお,ha2i,2
3,4183,河,hé,名,川,he2,2
1,3928,和,hé,介,…と,he2,2
2,48,红,hóng,形,赤い,ho2ng,2
3,4191,黄,huáng,形,黄色い,hua2ng,2
1,6,回,huí,量,…回,hui2,2
3,82,极,jí,副,きわめて 極み 頂点,ji2,2
1,3939,来,lái,動,来る,la2i,2
3,95,蓝,lán,形,青い,la2n,2
2,4055,离,lí,介,…から（二点間の隔たり）,li2,2
1,3944,零,líng,数,ゼロ 数の空位,li2ng,2
3,98,楼,lóu,名,建物,lo2u,2
2,4059,忙,máng,形,忙しい 急いでいる,ma2ng,2
1,3949,没,méi,副,…しなかった まだ…していない まだ…でない,me2i,2
2,10331,门,mén,名,門,me2n,2
3,4228,拿,ná,動,手に取る,na2,2
3,104,南,nán,名,南,na2n,2
3,4230,难,nán,形,難しい …しにくい,na2n,2
1,3953,能,néng,能,…できる（能力がある） …が起こりうる …してもよい,ne2ng,2
2,10333,您,nín,代,あなた（敬称）,ni2n,2
1,3954,年,nián,名,年,nia2n,2
3,4241,骑,qí,動,乗る（またがって）,qi2,2
2,4070,晴,qíng,形,晴れている,qi2ng,2
1,3960,钱,qián,名,お金,qia2n,2
1,19,人,rén,名,人,re2n,2
1,3972,谁,shéi,代,誰（の） 誰か,she2i,2
1,3968,十,shí,数,十,shi2,2
3,116,糖,táng,名,砂糖 あめ,ta2ng,2
3,4262,疼,téng,形,痛む,te2ng,2
2,10337,题,tí,名,題,ti2,2
3,4265,甜,tián,形,甘い うまい,tia2n,2
3,117,条,tiáo,量,…本（細長く 曲がることのある物を数える）,tia2o,2
2,4084,玩,wán,動,遊ぶ もてあそぶ,wa2n,2
2,10339,完,wán,動,仕上げる 尽きる,wa2n,2
3,4281,鞋,xié,名,靴,xie2,2
2,4107,鱼,yú,名,魚,yu2,2
3,139,云,yún,名,雲,yu2n,2
2,4108,圆,yuán,形,丸い,yua2n,2

3
3,4122,矮,ǎi,形,低い（背丈が）,a3i,3
3,10349,把,bǎ,量,…把（取っ手 柄のあるものを数える）,ba3,3
2,4011,百,bǎi,数,百,ba3i,3
3,4130,饱,bǎo,形,満腹である,ba3o,3
1,1,本,běn,量,…冊（書籍・ノートを数える）,be3n,3
2,4014,比,bǐ,介,…と比べて,bi3,3
3,63,草,cǎo,名,草,ca3o,3
2,4022,等,děng,動,待つ,de3ng,3
1,3908,点,diǎn,量,…時,dia3n,3
2,43,懂,dǒng,動,わかる 理解している,do3ng,3
3,4157,短,duǎn,形,短い,dua3n,3
3,79,敢,gǎn,能,思い切って…する,ga3n,3
2,45,给,gěi,動,あげる,ge3i,3
1,3924,狗,gǒu,名,犬,go3u,3
1,3926,好,hǎo,形,よい 申し分ない,ha3o,3
1,3929,很,hěn,副,たいへん とても,he3n,3
3,7,几,jǐ,代,いくつ（数を尋ねる） いくつかの（不定の数）,ji3,3
3,83,讲,jiǎng,動,話す 言う 説明する,jia3ng,3
3,85,脚,jiǎo,名,足（くるぶし…爪先）,jia3o,3
3,84,角,jiǎo,量,通貨の単位 角,jia3o,3
3,91,久,jiǔ,形,久しい,jiu3,3
1,3935,九,jiǔ,数,九,jiu3,3
3,4210,渴,kě,形,のどが渇いている,ke3,3
3,94,口,kǒu,名,口,ko3u,3
3,4217,老,lǎo,形,年を取っている 古い,la3o,3
1,3941,冷,lěng,形,寒い 冷たい,le3ng,3
1,3942,里,lǐ,名,中 内部 範囲を表す,li3,3
3,96,脸,liǎn,名,顔,lia3n,3
2,4056,两,liǎng,数,二（量詞・位数詞の前で）,lia3ng,3
3,100,马,mǎ,名,馬,ma3,3
1,3947,买,mǎi,動,買う,ma3i,3
2,4060,每,měi,代,ひとつひとつ …ごとに,me3i,3
3,4226,米,mǐ,量,…メートル,mi3,3
1,12,哪,nǎ,代,どの どれか,na3,3
1,16,你,nǐ,代,あなた,ni3,3
3,105,鸟,niǎo,名,鳥,nia3o,3
1,18,请,qǐng,動,お願いする 招待する,qi3ng,3
3,4250,伞,sǎn,名,傘,sa3n,3
1,3967,少,shǎo,形,少ない,sha3o,3
3,112,使,shǐ,動,使う 派遣する …に…をさせる,shi3,3
1,22,水,shuǐ,名,水,shui3,3
3,4269,腿,tuǐ,名,足（つけ根…くるぶし）,tui3,3
3,4271,碗,wǎn,名,椀 茶碗,wa3n,3
1,25,我,wǒ,代,私,wo3,3
1,3982,五,wǔ,数,五,wu3,3
2,4090,洗,xǐ,動,洗う,xi3,3
1,3988,想,xiǎng,動,（…と）思う 考える 懐かしむ,xia3ng,3
1,3989,小,xiǎo,形,小さい 年少である,xia3o,3
1,3991,写,xiě,動,書く,xie3,3
2,4095,雪,xuě,名,雪,xue3,3
2,4100,也,yě,副,…もまた たとえ…でも …でさえも,ye3,3
1,10330,有,yǒu,動,いる ある 待つ,yo3u,3
2,4109,远,yuǎn,形,遠い,yua3n,3
3,,长,zhǎng,動,成長する 年長の （組織の）長,zha3ng,3
2,4114,找,zhǎo,動,さがす,zha3o,3
3,140,只,zhǐ,副,ただ…だけ,zhi3,3
3,4309,种,zhǒng,名,種 種子,zho3ng,3
2,10347,走,zǒu,動,歩く 移動する,zo3u,3

4
1,3896,爱,ài,動,愛する （行い 状態を）好む,a4i,4
3,4128,半,bàn,数,半分 ２分の１,ba4n,4
3,,背,bèi,動,暗記する,be4i,4
1,3901,不,bù,副,いいえ …しない …ではない,bu4,4
1,3902,菜,cài,名,料理 おかず,ca4i,4
3,4140,差,chà,形,欠ける 異なる,cha4,4
2,38,次,cì,量,…回,ci4,4
2,40,错,cuò,形,誤っている,cuo4,4
1,3907,大,dà,形,大きい 年長である,da4,4
3,10352,带,dài,動,帯びる 身につける 連れる,da4i,4
2,4021,到,dào,動,至る 着く,da4o,4
3,75,段,duàn,量,…区切り（一定の距離や時間の長さを数える）,dua4n,4
2,*,对,duì,介,…に対して …に向かって,dui4,4
2,*,对,duì,量,…対（対になった物を数える）,dui4,4
3,4159,饿,è,形,おなかがすいている,e4,4
1,3918,二,èr,数,二（単独で）,e4r,4
3,78,放,fàng,動,置く 放す,fa4ng,4
1,4,个,gè,量,…個（広く色々な名詞に用いる）,ge4,4
3,4173,更,gèng,副,一層 もっと,ge4ng,4
2,4033,贵,guì,形,高い（値段が）,gui4,4
2,4034,过,guò,動,通過する 過ごす,guo4,4
2,46,号,hào,名,…日（日付）,ha4o,4
3,4188,画,huà,動,描く（絵や図を）,hua4,4
3,4189,坏,huài,形,悪い,hua4i,4
3,81,换,huàn,動,交換する,hua4n,4
1,3930,会,huì,名,会合 集まり,hui4,4
2,4044,进,jìn,動,（ある場所に）入る 前へ進む,ji4n,4
3,4045,近,jìn,形,近い,ji4n,4
2,49,件,jiàn,量,…枚 …件（服 事柄を数える）,jia4n,4
1,3933,叫,jiào,動,叫ぶ …と呼ぶ,jia4o,4
3,89,借,jiè,動,借りる 貸す,jie4,4
3,92,旧,jiù,形,古い,jiu4,4
2,51,就,jiù,副,すぐ じきに,jiu4,4
3,3936,看,kàn,動,見る 読む 訪問する 診察する …と思う,ka4n,4
2,52,课,kè,名,授業,ke4,4
3,4211,刻,kè,量,…刻（15分）,ke4,4
2,4052,快,kuài,形,速い（速度が）,kua4i,4
1,3938,块,kuài,量,通貨の単位 元（口語）,kua4i,4
2,4054,累,lèi,形,疲れた,le4i,4
3,97,辆,liàng,量,…両（車両を数える）,lia4ng,4
1,3945,六,liù,数,六,liu4,4
2,53,路,lù,名,道路,lu4,4
3,99,绿,lǜ,形,緑色の,lü4,4
2,54,卖,mài,動,売る,ma4i,4
2,4058,慢,màn,形,遅い（動作が）,ma4n,4
