1,茶,chá,名,お茶
1,家,jiā,名,家、家庭
1,水,shuǐ,名,水
1,米饭,mǐfàn,名,ごはん（米の）
1,商店,shāngdiàn,名,商店
1,衣服,yīfu,名,服
1,椅子,yǐzi,名,椅子
1,钱,qián,名,お金
1,杯子,bēizi,名,コップ、さかずき
1,飞机,fēijī,名,飛行機
1,医院,yīyuàn,名,病院
1,菜,cài,名,料理、おかず
1,电视,diànshì,名,テレビ
1,电影,diànyǐng,名,映画
1,东西,dōngxi,名,品物
1,饭馆,fànguǎn,名,レストラン
1,苹果,píngguǒ,名,りんご
1,医生,yīshēng,名,医師（文語）
1,桌子,zhuōzi,名,机、テーブル
1,出租车,chūzūchē,名,タクシー
1,火车站,huǒchēzhàn,名,鉄道の駅
1,电脑,diànnǎo,名,パソコン
1,会,huì,名,会合、集まり
1,人,rén,名,人
1,老师,lǎoshī,名,先生（師事する）
1,女儿,nǚér,名,娘、女の子
1,朋友,péngyou,名,友人
1,同学,tóngxué,名,学友
1,爸爸,bàba,名,お父さん
1,儿子,érzi,名,息子
1,妈妈,māma,名,お母さん
1,名字,míngzi,名,名前
1,先生,xiānsheng,名,男性に対する敬称（…さん）
1,小姐,xiǎojie,名,未婚女性への呼びかけ、敬称（英語のMiss…）
1,字,zì,名,字
1,学生,xuésheng,名,学生
1,学校,xuéxiào,名,学校
1,汉语,Hànyǔ,名,中国語
1,书,shū,名,本、書籍
1,猫,māo,名,猫
1,天气,tiānqì,名,天気
1,日,rì,名,太陽、日
1,狗,gǒu,名,犬
1,下,xià,名,下
1,北京,Běijīng,名固,北京
1,前面,qiánmiàn,名,前、前方
1,中国,Zhōngguó,名固,中国
1,里,lǐ,名,中、内部、範囲を表す
1,年,nián,名,年
1,月,yuè,名,…月（日付）
1,现在,xiànzài,名,現在、今
1,分钟,fēnzhōng,名,…分間
1,今天,jīntiān,名,今日
1,明天,míngtiān,名,明日
1,上午,shàngwǔ,名,午前
1,时候,shíhou,名,時刻、時
1,下午,xiàwǔ,名,午後
1,星期,xīngqī,名,週間、曜日
1,中午,zhōngwǔ,名,正午、昼
1,昨天,zuótiān,名,昨日
1,你,nǐ,代,あなた
1,他,tā,代,彼
1,她,tā,代,彼女
1,我,wǒ,代,私
1,我们,wǒmen,代,私たち（聞き手を含めず）
1,哪儿,nǎr,代,どこ、どこの
1,那儿,nàr,代,あそこ、そこ
1,这儿,zhèr,代,ここ
1,谁,shéi,代,誰（の）、誰か
1,哪,nǎ,代,どの、どれか
1,那,nà,代,あの、その、あれ、それ
1,这,zhè,代,この、これ
1,多少,duōshǎo,代,いくら（数量を問う）、いくらか（不定の数量）
1,什么,shénme,代,何、どんな
1,怎么,zěnme,代,どう、なぜ
1,怎么样,zěnmeyàng,代,どんな（性質）、どう（方法）、どうですか？（状況、意
1,八,bā,数,八
1,二,èr,数,二（単独で）
1,九,jiǔ,数,九
1,零,líng,数,ゼロ、数の空位
1,六,liù,数,六
1,七,qī,数,七
1,三,sān,数,三
1,十,shí,数,十
1,四,sì,数,四
1,五,wǔ,数,五
1,一,yī,数,一
1,本,běn,量,…冊（書籍・ノートを数える）
1,点,diǎn,量,…時
1,个,gè,量,…個（広く色々な名詞に用いる）
1,回,huí,量,…回
1,块,kuài,量,通貨の単位、元（口語）
1,些,xiē,量,いくらかの（不定の量）
1,岁,suì,量,…歳
1,开,kāi,動,開く
1,来,lái,動,来る
1,叫,jiào,動,叫ぶ、…と呼ぶ
1,坐,zuò,動,坐る
1,看见,kànjiàn,動,見える、目に入る
1,吃,chī,動,食べる
1,喝,hē,動,飲む
1,去,qù,動,行く
1,听,tīng,動,聞く
1,爱,ài,動,愛する、（行い、状態を）好む
1,想,xiǎng,動,（…と）思う、考える、懐かしむ
1,喜欢,xǐhuan,動,喜ぶ、好む
1,买,mǎi,動,買う
1,有,yǒu,動,いる、ある、待つ
1,住,zhù,動,住む、止む、止まる
1,在,zài,動,存在する、（…に）ある
1,是,shì,動,…だ、…である
1,睡觉,shuìjiào,動,眠る
1,请,qǐng,動,お願いする、招待する
1,认识,rènshi,動,見知っている
1,学习,xuéxí,動,学習する
1,读,dú,動,音読する、（学校で）勉強する
1,写,xiě,動,書く
1,做,zuò,動,作る、（仕事などを）する
1,工作,gōngzuò,動,仕事をする
1,说话,shuōhuà,動,話す
1,下雨,xiàyǔ,動,雨が降る
1,打电话,dǎdiànhuà,動,電話をかける
1,能,néng,能,…できる（能力がある）、…が起こりうる、…してもよい
1,大,dà,形,大きい、年長である
1,多,duō,形,多い
1,热,rè,形,熱い、暑い
1,少,shǎo,形,少ない
1,小,xiǎo,形,小さい、年少である
1,好,hǎo,形,よい、申し分ない
1,冷,lěng,形,寒い、冷たい
1,高兴,gāoxìng,形,うれしい
1,漂亮,piàoliang,形,きれいである（見た目が）、見事である
1,很,hěn,副,たいへん、とても
1,太,tài,副,あまりに…すぎる、きわめて
1,都,dōu,副,みな、すべて
1,不,bù,副,いいえ、…しない、…ではない
1,没,méi,副,…しなかった、まだ…していない、まだ…でない
1,和,hé,介,…と
1,谢谢,xièxie,他,ありがとう
1,再见,zàijiàn,他,さようなら
1,不客气,búkèqi,他,どういたしまして
1,对不起,duìbuqǐ,他,すみません
